приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
администратор не добавляется в комнату	the administrator does not join the room	der Administrator tritt dem Raum nicht bei	el administrador no se une a la sala
Подключаем отчёт…	Connecting report…	Bericht wird verbunden…	Conectando informe…
карт	cards	Karten	cartas
квартетов	quartets	Quartette	cuartetos
Статус	Status	Status	Estado
Ход	Turn	Zug	Turno
рисует сейчас	drawing now	zeichnet gerade	dibujando ahora
не в сети	offline	offline	sin conexión
Этап	Stage	Phase	Etapa
Рисует	Drawing	Zeichnet	Dibuja
Круг	Round	Runde	Ronda
Линий	Lines	Linien	Líneas
Событий пока нет	No events yet	Noch keine Ereignisse	Aún no hay eventos
Последние события	Recent events	Letzte Ereignisse	Eventos recientes
недоступен	unavailable	nicht verfügbar	no disponible
Сохранить	Save	Speichern	Guardar
Баланс сокровищ сохранён	Treasure balance saved	Schatzguthaben gespeichert	Saldo de tesoros guardado
Не удалось загрузить административные модули	Could not load administrator modules	Administrationsmodule konnten nicht geladen werden	No se pudieron cargar los módulos de administración
Разделы админ-панели	Admin sections	Adminbereiche	Secciones del panel
Обзор	Overview	Übersicht	Resumen
Поддержка	Support	Support	Soporte
Рейтинг	Leaderboard	Rangliste	Clasificación
Панель управления	Dashboard	Verwaltung	Panel de control
сейчас	now	jetzt	ahora
Синхронизация	Sync	Synchronisierung	Sincronización
приложение уже установлено	app already installed	App bereits installiert	aplicación ya instalada
Скачать приложение Библейские игры для	Download Bible Games for	Bibelspiele herunterladen für	Descargar Juegos bíblicos para
Скачать для	Download for	Herunterladen für	Descargar para
Перезапускаем игру	Restarting game	Spiel wird neu gestartet	Reiniciando el juego
Интерфейс игры находится внутри	The game interface is inside	Die Spieloberfläche befindet sich in	La interfaz del juego está dentro de
Нажмите кнопку, чтобы повторно открыть локальную копию.	Tap the button to reopen the local copy.	Tippe auf die Schaltfläche, um die lokale Kopie erneut zu öffnen.	Pulsa el botón para volver a abrir la copia local.
Спасибо, что пользуетесь нашим проектом!	Thank you for using our project!	Danke, dass du unser Projekt nutzt!	¡Gracias por usar nuestro proyecto!
Нам очень приятно, что вы выбираете наши игры и проводите с ними время	We are happy you choose our games and spend time playing them	Wir freuen uns, dass du unsere Spiele wählst und Zeit mit ihnen verbringst	Nos alegra que elijas nuestros juegos y disfrutes de ellos
Мы продолжаем развивать проект: улучшаем уже существующие игры	We keep developing the project: improving existing games	Wir entwickeln das Projekt weiter: Wir verbessern bestehende Spiele	Seguimos desarrollando el proyecto: mejoramos los juegos existentes
и создаём новые	and creating new ones	und entwickeln neue	y creamos otros nuevos
Если вам хочется поддержать нашу работу — будем искренне благодарны за любую помощь	If you would like to support our work, we would be grateful for any help	Wenn du unsere Arbeit unterstützen möchtest, freuen wir uns über jede Hilfe	Si quieres apoyar nuestro trabajo, agradeceremos cualquier ayuda
Все пожертвования помогают нам уделять больше времени развитию, улучшениям и созданию новых игр.	Every donation helps us spend more time developing, improving and creating new games.	Jede Spende hilft uns, mehr Zeit in die Entwicklung, Verbesserung und Erstellung neuer Spiele zu investieren.	Cada donación nos ayuda a dedicar más tiempo a desarrollar, mejorar y crear nuevos juegos.
Спасибо за вашу поддержку!	Thank you for your support!	Danke für deine Unterstützung!	¡Gracias por tu apoyo!
Благодаря вам проект может становиться лучше!	You help make the project better!	Dank dir kann das Projekt besser werden!	¡Gracias a ti el proyecto puede mejorar!
Поддержать проект	Support the project	Projekt unterstützen	Apoyar el proyecto
Поддержи проект	Support the project	Unterstütze das Projekt	Apoya el proyecto
ПОДДЕРЖАТЬ	SUPPORT	UNTERSTÜTZEN	APOYAR
Открыть поддержку проекта	Open project support	Projektunterstützung öffnen	Abrir apoyo al proyecto
Иконка игры	Game icon	Spielsymbol	Icono del juego
нет связи)	no connection)	keine Verbindung)	sin conexión)
ошибка	error	Fehler	error
при загрузке	while loading	beim Laden	al cargar
Открыть игру	Open game	Spiel öffnen	Abrir juego
Тех-поддержка	Technical support	Technischer Support	Soporte técnico
Сообщить об ошибке или предложить идею	Report a bug or suggest an idea	Fehler melden oder Idee vorschlagen	Informar de un error o proponer una idea
Пользователи, баллы и рассылка	Users, scores and broadcasts	Nutzer, Punkte und Rundnachrichten	Usuarios, puntos y difusión
Не найдена функция запуска игры	Game launch function not found	Spielstartfunktion nicht gefunden	No se encontró la función de inicio
Ошибка запуска игры	Game launch error	Fehler beim Spielstart	Error al iniciar el juego
Ошибка запуска	Launch error	Startfehler	Error de inicio
Игра загрузилась, но не смогла стартовать. Попробуйте вернуться в меню и открыть её снова.	The game loaded but could not start. Return to the menu and open it again.	Das Spiel wurde geladen, konnte aber nicht starten. Kehre zum Menü zurück und öffne es erneut.	El juego se cargó, pero no pudo iniciarse. Vuelve al menú y ábrelo de nuevo.
В главное меню	Main menu	Zum Hauptmenü	Al menú principal
Игра не найдена	Game not found	Spiel nicht gefunden	Juego no encontrado
Загрузка игры...	Loading game...	Spiel wird geladen...	Cargando juego...
Файл	File	Datei	Archivo
не загружается	could not be loaded	kann nicht geladen werden	no se carga
Файл игры не найден	Game file not found	Spieldatei nicht gefunden	Archivo del juego no encontrado
Не удалось загрузить	Could not load	Laden fehlgeschlagen	No se pudo cargar
Напишите, если заметили ошибку, неудобство в игре или хотите предложить новую функцию.	Write to us if you find a bug, have trouble playing or want to suggest a feature.	Schreib uns, wenn du einen Fehler oder ein Problem beim Spielen bemerkst oder eine neue Funktion vorschlagen möchtest.	Escríbenos si encuentras un error, tienes dificultades al jugar o quieres proponer una función.
Написать	Write	Schreiben	Escribir
Загрузка базы пользователей...	Loading user database...	Nutzerdatenbank wird geladen...	Cargando base de usuarios...
Не удалось загрузить базу	Could not load database	Datenbank konnte nicht geladen werden	No se pudo cargar la base de datos
Проверьте интернет или	Check your connection or	Prüfe deine Internetverbindung oder	Revisa la conexión o
Назад	Back	Zurück	Atrás
Назад в меню	Back to menu	Zurück zum Menü	Volver al menú
пользователей	users	Nutzer	usuarios
активных	active	aktiv	activos
заблокировано	blocked	gesperrt	bloqueados
Открыть форму сообщения	Open message form	Nachrichtenformular öffnen	Abrir formulario de mensaje
Введите сообщение. Поддерживаются	Enter a message. Supported:	Nachricht eingeben. Unterstützt werden	Escribe un mensaje. Se admiten
теги	tags	Tags	etiquetas
Поиск	Search	Suche	Buscar
Ник	Username	Nutzername	Nombre de usuario
или последняя игра	or last game	oder letztes Spiel	o último juego
Нет данных	No data	Keine Daten	Sin datos
Нет чата	No chat	Kein Chat	Sin chat
пользователя?	user?	Nutzer?	usuario?
Введите текст сообщения.	Enter a message.	Gib einen Nachrichtentext ein.	Escribe un mensaje.
Отправка...	Sending...	Wird gesendet...	Enviando...
Рассылка завершена.	Broadcast complete.	Versand abgeschlossen.	Difusión completada.
Ошибок	Errors	Fehler	Errores
Не удалось отправить рассылку.	Could not send broadcast.	Rundnachricht konnte nicht gesendet werden.	No se pudo enviar la difusión.
Рисуйте по очереди и найдите шпиона	Take turns drawing and find the spy	Zeichnet abwechselnd und findet den Spion	Dibujad por turnos y encontrad al espía
Не удалось загрузить Библейского художника	Could not load Bible Artist	Bibelkünstler konnte nicht geladen werden	No se pudo cargar Artista bíblico
Не удалось открыть игру	Could not open game	Spiel konnte nicht geöffnet werden	No se pudo abrir el juego
Загрузка «Библейские сокровища»...	Loading Bible Treasures...	Bibelschätze wird geladen...	Cargando Tesoros bíblicos...
Не удалось запустить «Библейские сокровища»	Could not start Bible Treasures	Bibelschätze konnte nicht gestartet werden	No se pudo iniciar Tesoros bíblicos
Не удалось загрузить новые	Could not load new	Neue Inhalte konnten nicht geladen werden:	No se pudieron cargar los nuevos
иконки или один из файлов игры. Нажмите «Повторить».	icons or a game file. Tap Retry.	Symbole oder eine Spieldatei. Tippe auf Erneut versuchen.	iconos o un archivo del juego. Pulsa Reintentar.
Матч‑3 с Путём света, рекордами и быстрыми комбинациями	Match-3 with a Path of Light, high scores and quick combos	Match-3 mit dem Pfad des Lichts, Rekorden und schnellen Kombinationen	Combina 3 con el Camino de la Luz, récords y combos rápidos
Не удалось выполнить запрос	Could not complete request	Anfrage fehlgeschlagen	No se pudo completar la solicitud
Текст, фото и файлы через	Text, photos and files via	Text, Fotos und Dateien über	Texto, fotos y archivos a través de
Тип	Type	Typ	Tipo
Сообщение	Message	Nachricht	Mensaje
Фото + подпись	Photo + caption	Foto + Bildunterschrift	Foto + pie de foto
Файл + подпись	File + caption	Datei + Beschreibung	Archivo + descripción
Получатели	Recipients	Empfänger	Destinatarios
Все незаблокированные	All unblocked users	Alle nicht gesperrten Nutzer	Todos los usuarios no bloqueados
Активные за	Active in the last	Aktiv in den letzten	Activos en los últimos
дней	days	Tagen	días
Выбранные пользователи	Selected users	Ausgewählte Nutzer	Usuarios seleccionados
Без звука	Silent	Lautlos	Sin sonido
Выберите пользователей	Select users	Nutzer auswählen	Selecciona usuarios
Поиск по	Search by	Suchen nach	Buscar por
или	or	oder	o
Загрузка...	Loading...	Wird geladen...	Cargando...
Выбрать файл	Choose file	Datei auswählen	Elegir archivo
Разрешить	Allow	Erlauben	Permitir
разметку	formatting	Formatierung	formato
Кнопки под сообщением	Buttons below message	Schaltflächen unter der Nachricht	Botones bajo el mensaje
Кнопка 1	Button 1	Schaltfläche 1	Botón 1
Текст, например: Открыть приложение	Text, e.g. Open app	Text, z. B. App öffnen	Texto, p. ej.: Abrir aplicación
Кнопка 2	Button 2	Schaltfläche 2	Botón 2
Текст, например: Читать канал	Text, e.g. Read channel	Text, z. B. Kanal lesen	Texto, p. ej.: Leer canal
Расположение	Layout	Anordnung	Disposición
Рядом, в одну строку	Side by side	Nebeneinander	En una fila
Друг под другом	Stacked	Untereinander	Uno debajo del otro
Значок в начало текста	Icon at the start	Symbol am Textanfang	Icono al inicio del texto
Цвет кнопок задать нельзя	Button colors cannot be set	Schaltflächenfarben können nicht festgelegt werden	No se puede elegir el color de los botones
рисует их в теме получателя и	displays them using the recipient theme and	zeigt sie im Design des Empfängers an; und	los muestra con el tema del destinatario y
поля цвета в его	there is no color field in its	ein Farbfeld ist in der	no hay campo de color en su
нет. Выделить кнопку можно значком в начале	API. Highlight a button with an icon at the start of the	nicht vorhanden. Hebe die Schaltfläche mit einem Symbol am Anfang hervor:	API. Puedes destacar un botón con un icono al principio del
текста — так делают в каналах.	text, as channels do.	So machen es auch Kanäle.	texto, como hacen los canales.
Предпросмотр	Preview	Vorschau	Vista previa
Введите сообщение или выберите файл	Enter a message or choose a file	Nachricht eingeben oder Datei auswählen	Escribe un mensaje o elige un archivo
Начать рассылку	Start broadcast	Versand starten	Iniciar difusión
Последние рассылки	Recent broadcasts	Letzte Rundnachrichten	Difusiones recientes
Подпись к вложению	Attachment caption	Anhangbeschreibung	Descripción del adjunto
МБ	MB	MB	MB
Фото	Photo	Foto	Foto
Пользователи не найдены	No users found	Keine Nutzer gefunden	No se encontraron usuarios
Загрузка вложений доступна только администратору в	Only administrators can upload attachments in	Nur Administratoren können Anhänge hochladen in	Solo los administradores pueden subir adjuntos en
Фото должно быть не больше 10 МБ	Photo must not exceed 10 MB	Foto darf höchstens 10 MB groß sein	La foto no debe superar los 10 MB
Файл должен быть не больше 50 МБ	File must not exceed 50 MB	Datei darf höchstens 50 MB groß sein	El archivo no debe superar los 50 MB
Сервер отклонил вложение (код	Server rejected attachment (code	Server hat den Anhang abgelehnt (Code	El servidor rechazó el adjunto (código
Загрузка вложения не уложилась в	Attachment upload exceeded	Das Hochladen des Anhangs dauerte länger als	La subida del adjunto superó
секунд. Попробуйте файл поменьше или сеть получше	seconds. Try a smaller file or a better connection	Sekunden. Versuche eine kleinere Datei oder eine bessere Verbindung	segundos. Prueba un archivo más pequeño o una conexión mejor
Не удалось связаться с сервером для загрузки вложения. Проверьте связь и попробуйте ещё раз	Could not reach upload server. Check your connection and retry	Upload-Server nicht erreichbar. Prüfe die Verbindung und versuche es erneut	No se pudo conectar para subir el adjunto. Revisa la conexión y reinténtalo
Выберите вложение	Choose an attachment	Anhang auswählen	Elige un adjunto
Выберите хотя бы одного пользователя	Select at least one user	Wähle mindestens einen Nutzer	Selecciona al menos un usuario
Заполните и текст, и ссылку у кнопки	Enter both button text and link	Gib Schaltflächentext und Link ein	Introduce el texto y el enlace del botón
Ссылка кнопки	Button link	Schaltflächenlink	Enlace del botón
должна начинаться с	must start with	muss beginnen mit	debe empezar por
Начать рассылку? Отправка будет выполняться в фоне, страницу можно закрыть.	Start broadcast? Sending continues in the background; you can close this page.	Versand starten? Er läuft im Hintergrund weiter; du kannst die Seite schließen.	¿Iniciar difusión? El envío continuará en segundo plano; puedes cerrar la página.
Создаём рассылку...	Creating broadcast...	Versand wird erstellt...	Creando difusión...
Загружаем вложение...	Uploading attachment...	Anhang wird hochgeladen...	Subiendo adjunto...
Запускаем...	Starting...	Wird gestartet...	Iniciando...
Рассылка запущена	Broadcast started	Versand gestartet	Difusión iniciada
Не удалось начать рассылку	Could not start broadcast	Versand konnte nicht gestartet werden	No se pudo iniciar la difusión
Запрос слишком долго не отвечал. Попробуйте ещё раз	Request timed out. Try again	Zeitüberschreitung. Versuche es erneut	La solicitud tardó demasiado. Reinténtalo
Нет связи с сервером рассылки. Проверьте интернет и попробуйте ещё раз	Broadcast server unavailable. Check your connection and retry	Versandserver nicht erreichbar. Prüfe die Verbindung und versuche es erneut	Servidor de difusión no disponible. Revisa la conexión y reinténtalo
не начинали диалог с ботом	have not started the bot	Bot noch nicht gestartet	no han iniciado el bot
заблокировали бота	blocked the bot	Bot blockiert	bloquearon el bot
аккаунт удалён	account deleted	Konto gelöscht	cuenta eliminada
бот не может писать в этот чат	bot cannot write to this chat	Bot kann nicht in diesen Chat schreiben	el bot no puede escribir en este chat
придержал отправку	delayed sending	Versand verzögert	retrasó el envío
это бот, а не человек	this is a bot account	dies ist ein Botkonto	es una cuenta de bot
причина неизвестна	unknown reason	unbekannter Grund	motivo desconocido
Остановить	Stop	Stoppen	Detener
Остановить оставшуюся рассылку? Уже отправленные сообщения останутся у пользователей.	Stop remaining broadcasts? Delivered messages will remain.	Restlichen Versand stoppen? Bereits zugestellte Nachrichten bleiben erhalten.	¿Detener los envíos pendientes? Los mensajes enviados se conservarán.
Рассылок пока нет	No broadcasts yet	Noch keine Rundnachrichten	Aún no hay difusiones
Не удалось загрузить историю	Could not load history	Verlauf konnte nicht geladen werden	No se pudo cargar el historial
