Обет	Vow	Gelübde	Voto
Аман	Haman	Haman	Amán
Артаксеркс	Artaxerxes	Artaxerxes	Artajerjes
Кир	Cyrus	Kyrus	Ciro
Дарий	Darius	Darius	Darío
Ездра	Ezra	Esra	Esdras
Неемия	Nehemiah	Nehemia	Nehemías
Аггей	Haggai	Haggai	Hageo
Осия	Hosea	Hosea	Oseas
Амос	Amos	Amos	Amós
Авдий	Obadiah	Obadja	Abdías
Иоиль	Joel	Joel	Joel
Михей	Micah	Micha	Miqueas
Иеремия	Jeremiah	Jeremia	Jeremías
Исаия	Isaiah	Jesaja	Isaías
Кесарь	Caesar	Kaiser	César
Феликс	Felix	Felix	Félix
Фест	Festus	Festus	Festo
Агриппа	Agrippa	Agrippa	Agripa
Анания	Ananias	Ananias	Ananías
Сапфира	Sapphira	Saphira	Safira
Корнилий	Cornelius	Kornelius	Cornelio
Симон	Simon	Simon	Simón
Прискилла	Priscilla	Priszilla	Priscila
Акила	Aquila	Aquila	Aquila
Аполлос	Apollos	Apollos	Apolos
Димас	Demas	Demas	Demas
Ефес	Ephesus	Ephesus	Éfeso
Коринф	Corinth	Korinth	Corinto
Антиохия	Antioch	Antiochia	Antioquía
Кесария	Caesarea	Cäsarea	Cesarea
Троада	Troas	Troas	Troas
Фессалоника	Thessalonica	Thessalonich	Tesalónica
Ассирия	Assyria	Assyrien	Asiria
Мидия	Media	Medien	Media
Едом	Edom	Edom	Edom
Моав	Moab	Moab	Moab
Аммон	Ammon	Ammon	Amón
Мадиам	Midian	Midian	Madián
Амалик	Amalek	Amalek	Amalec
Ханаан	Canaan	Kanaan	Canaán
Сихем	Shechem	Sichem	Siquem
Вефиль	Bethel	Bethel	Betel
Силом	Shiloh	Silo	Silo
Массифа	Mizpah	Mizpa	Mizpa
Сокхоф	Succoth	Sukkot	Sucot
Елим	Elim	Elim	Elim
Кадес	Kadesh	Kadesch	Cades
Фасга	Pisgah	Pisga	Pisga
Нево	Nebo	Nebo	Nebo
Ермон	Hermon	Hermon	Hermón
Фавор	Tabor	Tabor	Tabor
Арнон	Arnon	Arnon	Arnón
Иавок	Jabbok	Jabbok	Jaboc
Ефа	Ephah	Efa	Efa
Кадильница	Censer	Räucherpfanne	Incensario
Умывальник	Basin	Waschbecken	Lavatorio
Жезл	Rod	Stab	Vara
Притвор	Portico	Vorhalle	Pórtico
Вертеп	Grotto	Grotte	Gruta
Пелены	Swaddling clothes	Windeln	Pañales
Плащаница	Shroud	Leichentuch	Sudario
Миро	Anointing oil	Salböl	Aceite de unción
Динарий	Denarius	Denar	Denario
Талант	Talent	Talent	Talento
Мина	Mina	Mine	Mina
Сикль	Shekel	Schekel	Siclo
Локоть	Cubit	Elle	Codo
Свирель	Flute	Flöte	Flauta
Тимпан	Tambourine	Tamburin	Pandero
Псалтирь	Psalter	Psalter	Salterio
Рог	Horn	Horn	Cuerno
Багряница	Scarlet robe	Purpurmantel	Manto escarlata
Виссон	Fine linen	Feines Leinen	Lino fino
Хитон	Tunic	Tunika	Túnica
Риза	Robe	Gewand	Vestidura
Милоть	Sheepskin	Schaffell	Piel de oveja
Вретище	Sackcloth	Sacktuch	Cilicio
Жернов	Millstone	Mühlstein	Piedra de molino
Серп	Sickle	Sichel	Hoz
Ярмо	Yoke	Joch	Yugo
Секира	Axe	Axt	Hacha
Отвес	Plumb line	Senkblei	Plomada
Весы	Scales	Waage	Balanza
Горнило	Crucible	Schmelztiegel	Crisol
Мех	Wineskin	Schlauch	Odre
Кожа	Leather	Leder	Cuero
Смола	Pitch	Pech	Brea
Иссоп	Hyssop	Ysop	Hisopo
Полынь	Wormwood	Wermut	Ajenjo
Ливан	Lebanon	Libanon	Líbano
Мачта	Mast	Mast	Mástil
Волна	Wave	Welle	Ola
НОЙ	NOAH	NOAH	NOÉ
Персонаж	Character	Person	Personaje
праведность, мера, смола, ожидание	Righteousness, measure, pitch, waiting	Gerechtigkeit, Maß, Pech, Warten	Justicia, medida, brea, espera
Давид	David	David	David
овцы, пещера, венец, сокрушение	Sheep, cave, crown, contrition	Schafe, Höhle, Krone, Reue	Ovejas, cueva, corona, contrición
Моисей	Moses	Mose	Moisés
косноязычие, пламень, посредник, преемник	Slow speech, flame, mediator, successor	Schwere Zunge, Flamme, Mittler, Nachfolger	Habla lenta, llama, mediador, sucesor
непокорность, жребий, тень, покаяние	Disobedience, lot, shade, repentance	Ungehorsam, Los, Schatten, Umkehr	Desobediencia, suerte, sombra, arrepentimiento
Иосиф	Joseph	Josef	José
хитон, темница, истолкование, житница	Tunic, prison, interpretation, granary	Tunika, Gefängnis, Deutung, Kornspeicher	Túnica, prisión, interpretación, granero
Пётр	Peter	Petrus	Pedro
порыв, маловерие, слезы, пастырь	Impulse, little faith, tears, shepherd	Eifer, Kleinglaube, Tränen, Hirte	Impulso, poca fe, lágrimas, pastor
Павел	Paul	Paulus	Pablo
ревность, свет, узы, посланник	Zeal, light, bonds, messenger	Eifer, Licht, Fesseln, Bote	Celo, luz, cadenas, mensajero
Мария	Mary	Maria	María
смирение, осененение, меч, упование	Humility, overshadowing, sword, trust	Demut, Überschattung, Schwert, Zuversicht	Humildad, sombra, espada, confianza
Марфа	Martha	Marta	Marta
попечение, упрек, признание, служение	Care, rebuke, confession, service	Sorge, Tadel, Bekenntnis, Dienst	Cuidado, reproche, confesión, servicio
Лазарь	Lazarus	Lazarus	Lázaro
сон, задержка, камень, развязывание	Sleep, delay, stone, unbinding	Schlaf, Verzögerung, Stein, Losbinden	Sueño, demora, piedra, desatar
чужестранка, колос, край, искупление	Foreigner, grain, hem, redemption	Fremde, Ähre, Saum, Erlösung	Extranjera, espiga, borde, redención
молчание, пир, перстень, избавление	Silence, feast, ring, deliverance	Schweigen, Festmahl, Ring, Rettung	Silencio, banquete, anillo, liberación
Вифлеем	Bethlehem	Bethlehem	Belén
Город	City	Stadt	Ciudad
малость, пажити, звезда, дом_хлеба	Smallness, pastures, star, house of bread	Kleinheit, Weiden, Stern, Haus des Brotes	Pequeñez, pastos, estrella, casa del pan
Назарет	Nazareth	Nazareth	Nazaret
укоризна, сокрытие, древо, отрочество	Reproach, concealment, tree, childhood	Vorwurf, Verborgenheit, Baum, Jugend	Reproche, ocultamiento, árbol, juventud
преграда, обход, восклицание, заклятие	Barrier, march, shout, devotion	Hindernis, Umzug, Ruf, Bann	Barrera, marcha, grito, anatema
Иерусалим	Jerusalem	Jerusalem	Jerusalén
мир, побиение, плач, торжество	Peace, stoning, lament, celebration	Frieden, Steinigung, Klage, Jubel	Paz, lapidación, llanto, celebración
Галилея	Galilee	Galiläa	Galilea
язычники, сети, буря, отверженные	Gentiles, nets, storm, outcasts	Heiden, Netze, Sturm, Ausgestoßene	Gentiles, redes, tormenta, marginados
Синай	Sinai	Sinai	Sinaí
трепет, мрак, труба, заповедь	Trembling, darkness, trumpet, commandment	Zittern, Dunkelheit, Posaune, Gebot	Temblor, oscuridad, trompeta, mandamiento
Предмет	Object	Gegenstand	Objeto
чертеж, дверь, спасение, остаток	Design, door, salvation, remnant	Plan, Tür, Rettung, Überrest	Plano, puerta, salvación, remanente
Свиток	Scroll	Schriftrolle	Pergamino
горечь, сладость, печать, откровение	Bitterness, sweetness, seal, revelation	Bitterkeit, Süße, Siegel, Offenbarung	Amargura, dulzura, sello, revelación
гладкость, ручей, насмешка, поражение	Smoothness, stream, mockery, defeat	Glätte, Bach, Spott, Niederlage	Lisura, arroyo, burla, derrota
Арфа	Harp	Harfe	Arpa
злой_дух, утешение, струна, славословие	Evil spirit, comfort, string, praise	Böser Geist, Trost, Saite, Lob	Espíritu malo, consuelo, cuerda, alabanza
опора, змей, скала, расцветание	Support, serpent, rock, blossoming	Stütze, Schlange, Fels, Blüte	Apoyo, serpiente, roca, florecimiento
Символ	Symbol	Symbol	Símbolo
роса, мера, черви, сосуд	Dew, measure, worms, vessel	Tau, Maß, Würmer, Gefäß	Rocío, medida, gusanos, vasija
чеканка, миндаль, масло, бдение	Hammering, almond, oil, vigil	Treibarbeit, Mandel, Öl, Wache	Martillado, almendra, aceite, vigilia
Понятие	Concept	Begriff	Concepto
рассечение, кровь, клятва, знамение	Division, blood, oath, sign	Teilung, Blut, Eid, Zeichen	División, sangre, juramento, señal
Вера	Faith	Glaube	Fe
невидимое, уверенность, испытание, оправдание	Unseen, confidence, trial, justification	Unsichtbares, Gewissheit, Prüfung, Rechtfertigung	Invisible, certeza, prueba, justificación
суд, превозношение, нищий, даяние	Judgment, pride, beggar, giving	Gericht, Hochmut, Bettler, Geben	Juicio, orgullo, mendigo, dádiva
Благодать	Grace	Gnade	Gracia
дар, немощь, преизбыток, оправдание	Gift, weakness, abundance, justification	Gabe, Schwachheit, Überfluss, Rechtfertigung	Don, debilidad, abundancia, justificación
Молитва	Prayer	Gebet	Oración
клеть, неотступность, фимиам, воздыхание	Inner room, persistence, incense, sighing	Kammer, Beharrlichkeit, Weihrauch, Seufzen	Aposento, persistencia, incienso, suspiro
Притча	Parable	Gleichnis	Parábola
Жанр	Genre	Gattung	Género
тайна, уши, семя, разделение	Mystery, ears, seed, division	Geheimnis, Ohren, Same, Trennung	Misterio, oídos, semilla, separación
Псалом	Psalm	Psalm	Salmo
Книга/жанр	Book/genre	Buch/Gattung	Libro/género
вздох, струна, упование, начальник_хора	Sigh, string, trust, choirmaster	Seufzer, Saite, Zuversicht, Chorleiter	Suspiro, cuerda, confianza, director del coro
Книга	Book	Buch	Libro
стон, первенец, столб, пепел	Groan, firstborn, pillar, ashes	Stöhnen, Erstgeborener, Säule, Asche	Gemido, primogénito, columna, ceniza
Бытие	Genesis	Genesis	Génesis
пустота, разделение, дыхание, грехопадение	Void, separation, breath, fall	Leere, Trennung, Atem, Sündenfall	Vacío, separación, aliento, caída
Притчи	Proverbs	Sprüche	Proverbios
мудрость, глупость, серебро, стезя	Wisdom, folly, silver, path	Weisheit, Torheit, Silber, Pfad	Sabiduría, necedad, plata, senda
Евангелие	Gospel	Evangelium	Evangelio
благовестие, стопы, тайна, спасение	Good news, feet, mystery, salvation	Frohe Botschaft, Füße, Geheimnis, Rettung	Buenas nuevas, pies, misterio, salvación
посланничество, жребий, свидетельство, узы	Mission, lot, testimony, bonds	Sendung, Los, Zeugnis, Fesseln	Misión, suerte, testimonio, cadenas
Пустыня	Desert	Wüste	Desierto
глас, испытание, скорпионы, утешение	Voice, trial, scorpions, comfort	Stimme, Prüfung, Skorpione, Trost	Voz, prueba, escorpiones, consuelo
Храм	Temple	Tempel	Templo
завеса, курение, двор, разрушение	Curtain, incense, court, destruction	Vorhang, Räucherwerk, Hof, Zerstörung	Velo, incienso, atrio, destrucción
рога, кровь, огонь, примирение	Horns, blood, fire, reconciliation	Hörner, Blut, Feuer, Versöhnung	Cuernos, sangre, fuego, reconciliación
Имя	Name	Name	Nombre
Одежда	Clothing	Kleidung	Ropa
Еда	Food	Essen	Comida
Напиток	Drink	Getränk	Bebida
Страна	Country	Land	País
Здание	Building	Gebäude	Edificio
Действие	Action	Handlung	Acción
Эмоция	Emotion	Gefühl	Emoción
Растение	Plant	Pflanze	Planta
Природное явление	Natural phenomenon	Naturerscheinung	Fenómeno natural
Небесное тело	Celestial body	Himmelskörper	Cuerpo celeste
Музыкальный предмет	Musical object	Musikgegenstand	Objeto musical
Событие	Event	Ereignis	Suceso
Праведник	Righteous person	Gerechter	Justo
Грешник	Sinner	Sünder	Pecador
Пророчество	Prophecy	Prophezeiung	Profecía
Писание	Scripture	Schrift	Escritura
Могло существовать 100 лет назад	Could have existed 100 years ago	Konnte vor 100 Jahren existieren	Podría haber existido hace 100 años
Не могло существовать 100 лет назад	Could not have existed 100 years ago	Konnte vor 100 Jahren nicht existieren	No podría haber existido hace 100 años
Профессия	Profession	Beruf	Profesión
Слово не начинается, но заканчивается на эту букву	A word ending, not starting, with this letter	Ein Wort, das mit diesem Buchstaben endet, nicht beginnt	Una palabra que termine, no empiece, por esta letra
На что вы можете посмотреть прямо сейчас	Something you can look at right now	Etwas, das du jetzt sehen kannst	Algo que puedas ver ahora mismo
Знаменитая личность	Famous person	Berühmte Person	Persona famosa
Можно положить в карман	Fits in a pocket	Passt in eine Tasche	Cabe en un bolsillo
Можно сломать или испортить руками	Can be broken by hand	Kann mit den Händen zerbrochen werden	Se puede romper con las manos
Слово, в котором эта буква встречается дважды	A word containing this letter twice	Ein Wort mit diesem Buchstaben zweimal	Una palabra con esta letra dos veces
Связано с музыкой	Related to music	Hat mit Musik zu tun	Relacionado con la música
Можно увидеть в храме	Can be seen in a temple	Im Tempel zu sehen	Se puede ver en un templo
Можно увидеть на войне	Can be seen in war	Im Krieg zu sehen	Se puede ver en una guerra
Вещь, которую могли изготовить 1000 лет назад	Something made 1000 years ago	Etwas, das vor 1000 Jahren hergestellt werden konnte	Algo que se podía fabricar hace 1000 años
Можно увидеть в деревне	Can be seen in a village	In einem Dorf zu sehen	Se puede ver en un pueblo
Тоньше сантиметра	Thinner than a centimeter	Dünner als ein Zentimeter	Más fino que un centímetro
Абстрактное понятие	Abstract concept	Abstrakter Begriff	Concepto abstracto
Произведение (книга, песня, текст)	A work (book, song, text)	Ein Werk (Buch, Lied, Text)	Una obra (libro, canción, texto)
Гора, река, озеро или море	Mountain, river, lake or sea	Berg, Fluss, See oder Meer	Montaña, río, lago o mar
Вещь, которую можно сделать из металла	Something made of metal	Etwas aus Metall	Algo que se pueda hacer de metal
Вещь, которую можно сделать из дерева	Something made of wood	Etwas aus Holz	Algo que se pueda hacer de madera
Вещь, которую можно сделать из глины	Something made of clay	Etwas aus Ton	Algo que se pueda hacer de barro
Вещь, которую можно сделать из кожи	Something made of leather	Etwas aus Leder	Algo que se pueda hacer de cuero
Вещь, которая может служить для преступления	Something used in a crime	Etwas, das bei einer Straftat verwendet werden kann	Algo que se pueda usar en un delito
Вещь для служения	Something for ministry	Etwas für den Dienst	Algo para el servicio
Вещь для повседневности	An everyday item	Ein Alltagsgegenstand	Un objeto cotidiano
Вещество или материал	Substance or material	Stoff oder Material	Sustancia o material
Вещь, который есть у вашей семьи	Something your family owns	Etwas, das deine Familie besitzt	Algo que tenga tu familia
Вещь, которой нет у вашей семьи	Something your family does not own	Etwas, das deine Familie nicht besitzt	Algo que no tenga tu familia
Книга из Библии	A book of the Bible	Ein Buch der Bibel	Un libro de la Biblia
Книга Елены Вайт	A book by Ellen White	Ein Buch von Ellen White	Un libro de Elena White
Связано со служением	Related to ministry	Mit dem Dienst verbunden	Relacionado con el servicio
Положительный персонаж	A positive character	Eine positive Person	Un personaje positivo
Царь	King	König	Rey
Судья	Judge	Richter	Juez
Отец	Father	Vater	Padre
Мать	Mother	Mutter	Madre
Чудо	Miracle	Wunder	Milagro
Адам	Adam	Adam	Adán
Ева	Eve	Eva	Eva
Ной	Noah	Noah	Noé
Потоп	Flood	Sintflut	Diluvio
Авраам	Abraham	Abraham	Abraham
Сарра	Sarah	Sara	Sara
Исаак	Isaac	Isaak	Isaac
Сон	Dream	Traum	Sueño
Фараон	Pharaoh	Pharao	Faraón
Египет	Egypt	Ägypten	Egipto
Корзина	Basket	Korb	Cesta
Река	River	Fluss	Río
Море	Sea	Meer	Mar
Вода	Water	Wasser	Agua
Скала	Rock	Fels	Roca
Гора	Mountain	Berg	Monte
Закон	Law	Gesetz	Ley
Иисус	Jesus	Jesus	Jesús
Ясли	Manger	Krippe	Pesebre
Волхвы	Magi	Weise	Magos
Пастухи	Shepherds	Hirten	Pastores
Весть	News	Botschaft	Noticia
Рождение	Birth	Geburt	Nacimiento
Гвозди	Nails	Nägel	Clavos
Терновник	Thornbush	Dornbusch	Zarza
Голгофа	Golgotha	Golgatha	Gólgota
Плащ	Cloak	Mantel	Manto
Гроб	Tomb	Grab	Sepulcro
Камень	Stone	Stein	Piedra
Воскресение	Resurrection	Auferstehung	Resurrección
Ученики	Disciples	Jünger	Discípulos
Сеть	Net	Netz	Red
Лодка	Boat	Boot	Barca
Буря	Storm	Sturm	Tormenta
Сомнение	Doubt	Zweifel	Duda
Слепой	Blind man	Blinder	Ciego
Хромой	Lame man	Lahmer	Cojo
Прокажённый	Leper	Aussätziger	Leproso
Рыбы	Fish	Fische	Peces
Толпа	Crowd	Menge	Multitud
Сеятель	Sower	Sämann	Sembrador
Овца	Sheep	Schaf	Oveja
Пастух	Shepherd	Hirte	Pastor
Ягнёнок	Lamb	Lamm	Corderito
Стадо	Flock	Herde	Rebaño
Волк	Wolf	Wolf	Lobo
Лоза	Vine	Weinstock	Vid
Плод	Fruit	Frucht	Fruto
Смоковница	Fig tree	Feigenbaum	Higuera
Дом	House	Haus	Casa
Песок	Sand	Sand	Arena
Основание	Foundation	Fundament	Cimiento
Дверь	Door	Tür	Puerta
Дева	Virgin	Jungfrau	Virgen
Жених	Bridegroom	Bräutigam	Novio
Монета	Coin	Münze	Moneda
Драхма	Drachma	Drachme	Dracma
Радость	Joy	Freude	Alegría
Сын	Son	Sohn	Hijo
Наследство	Inheritance	Erbe	Herencia
Возвращение	Return	Rückkehr	Regreso
Прощение	Forgiveness	Vergebung	Perdón
Самарянин	Samaritan	Samariter	Samaritano
Дорога	Road	Straße	Camino
Разбойники	Robbers	Räuber	Ladrones
Рана	Wound	Wunde	Herida
Вино	Wine	Wein	Vino
Осёл	Donkey	Esel	Burro
Гостиница	Inn	Herberge	Posada
Алтарь	Altar	Altar	Altar
Жертва	Sacrifice	Opfer	Sacrificio
Свеча	Candle	Kerze	Vela
Завеса	Curtain	Vorhang	Velo
Двор	Court	Hof	Patio
Пост	Fasting	Fasten	Ayuno
Голиаф	Goliath	Goliath	Goliat
Победа	Victory	Sieg	Victoria
Престол	Throne	Thron	Trono
Диадима	Diadem	Diadem	Diadema
Соломон	Solomon	Salomo	Salomón
Мудрость	Wisdom	Weisheit	Sabiduría
Суд	Judgment	Gericht	Juicio
Ребёнок	Child	Kind	Niño
Решение	Decision	Entscheidung	Decisión
Справедливость	Justice	Gerechtigkeit	Justicia
Мир	Peace	Frieden	Paz
Благословение	Blessing	Segen	Bendición
Любовь	Love	Liebe	Amor
Жизнь	Life	Leben	Vida
Надежда	Hope	Hoffnung	Esperanza
Истина	Truth	Wahrheit	Verdad
Добро	Goodness	Güte	Bien
Зло	Evil	Böse	Mal
Слава	Glory	Herrlichkeit	Gloria
Усердие	Diligence	Fleiß	Diligencia
Покой	Rest	Ruhe	Reposo
Смирение	Humility	Demut	Humildad
Послушание	Obedience	Gehorsam	Obediencia
Ревность	Zeal	Eifer	Celo
Сердце	Heart	Herz	Corazón
Каин	Cain	Kain	Caín
Авель	Abel	Abel	Abel
Сиф	Seth	Set	Set
Енох	Enoch	Henoch	Enoc
Лот	Lot	Lot	Lot
Исав	Esau	Esau	Esaú
Ревекка	Rebekah	Rebekka	Rebeca
Рахиль	Rachel	Rahel	Raquel
Лия	Leah	Lea	Lea
Аарон	Aaron	Aaron	Aarón
Мариам	Miriam	Mirjam	Miriam
Самуил	Samuel	Samuel	Samuel
Ионафан	Jonathan	Jonatan	Jonatán
Авессалом	Absalom	Absalom	Absalón
Вирсавия	Bathsheba	Batseba	Betsabé
Никодим	Nicodemus	Nikodemus	Nicodemo
Закхей	Zacchaeus	Zachäus	Zaqueo
Варавва	Barabbas	Barabbas	Barrabás
Пилат	Pilate	Pilatus	Pilato
Ирод	Herod	Herodes	Herodes
Иуда	Judah	Juda	Judá
Фома	Thomas	Thomas	Tomás
Андрей	Andrew	Andreas	Andrés
Филипп	Philip	Philippus	Felipe
Матфей	Matthew	Matthäus	Mateo
Лука	Luke	Lukas	Lucas
Марк	Mark	Markus	Marcos
Варнава	Barnabas	Barnabas	Bernabé
Стефан	Stephen	Stephanus	Esteban
Тимофей	Timothy	Timotheus	Timoteo
Симеон	Simeon	Simeon	Simeón
Анна	Anna	Hanna	Ana
Елисавета	Elizabeth	Elisabeth	Elisabet
Гавриил	Gabriel	Gabriel	Gabriel
Михаил	Michael	Michael	Miguel
Сатана	Satan	Satan	Satanás
Самария	Samaria	Samaria	Samaria
Содом	Sodom	Sodom	Sodoma
Гоморра	Gomorrah	Gomorra	Gomorra
Дамаск	Damascus	Damaskus	Damasco
Рим	Rome	Rom	Roma
Вифания	Bethany	Bethanien	Betania
Хеврон	Hebron	Hebron	Hebrón
Сион	Zion	Zion	Sion
Капернаум	Capernaum	Kapernaum	Capernaúm
Ворон	Raven	Rabe	Cuervo
Змей	Serpent	Schlange	Serpiente
Козёл	Goat	Ziegenbock	Cabra
Телец	Bull	Stier	Becerro
Вол	Ox	Ochse	Buey
Свинья	Pig	Schwein	Cerdo
Саранча	Locust	Heuschrecke	Langosta
Мёд	Honey	Honig	Miel
Молоко	Milk	Milch	Leche
Мука	Flour	Mehl	Harina
Ячмень	Barley	Gerste	Cebada
Пшеница	Wheat	Weizen	Trigo
Лилия	Lily	Lilie	Lirio
Кедр	Cedar	Zeder	Cedro
Дуб	Oak	Eiche	Roble
Пальма	Palm	Palme	Palmera
Тростник	Reed	Schilf	Junco
Шлем	Helmet	Helm	Casco
Лук	Bow	Bogen	Arco
Стрела	Arrow	Pfeil	Flecha
Колесница	Chariot	Streitwagen	Carro
Якорь	Anchor	Anker	Ancla
Сосуд	Vessel	Gefäß	Vasija
Мешок	Sack	Sack	Saco
Обувь	Shoes	Schuhe	Calzado
Пояс	Belt	Gürtel	Cinturón
Перстень	Ring	Ring	Anillo
